# Names for Crash Twinsanity's PAL executable (SLES_525.68), applied by tools/re/ghidra.py import.
# address	kind	name	detail        kind F = function (detail = prototype), L = label (detail = data type)
001075b0	F	BuildCondition_FocusFacingMe	void BuildCondition_FocusFacingMe(void)
001075cc	F	BuildCondition_FocusHeadLookingAtMe	void BuildCondition_FocusHeadLookingAtMe(void)
001075e8	F	BuildCondition_ClearLineOfSightToFocus	void BuildCondition_ClearLineOfSightToFocus(void)
00107604	F	BuildCondition_CanSeeFocus	void BuildCondition_CanSeeFocus(void)
00107620	F	BuildCondition_HeadCanSeeFocus	void BuildCondition_HeadCanSeeFocus(void)
0010763c	F	BuildCondition_FocusAgentCanSeeMe	void BuildCondition_FocusAgentCanSeeMe(void)
00107658	F	BuildCondition_FocusHeadCanSeeMe	void BuildCondition_FocusHeadCanSeeMe(void)
00107674	F	BuildCondition_HeightAboveFocus	void BuildCondition_HeightAboveFocus(void)
0010771c	F	BuildCondition_MeFacingRouteNode	void BuildCondition_MeFacingRouteNode(void)
00107738	F	BuildCondition_HeadLookingAtRouteNode	void BuildCondition_HeadLookingAtRouteNode(void)
00107754	F	BuildCondition_ClearLineOfSightToRouteNode	void BuildCondition_ClearLineOfSightToRouteNode(void)
00107770	F	BuildCondition_MeFacingCamera	void BuildCondition_MeFacingCamera(void)
0010778c	F	BuildCondition_CameraFacingMe	void BuildCondition_CameraFacingMe(void)
001077a8	F	BuildCondition_InCameraFrustrum	void BuildCondition_InCameraFrustrum(void)
001077c4	F	BuildCondition_ClearLineOfSightToCamera	void BuildCondition_ClearLineOfSightToCamera(void)
001077e0	F	BuildCondition_CameraCanSeeMe	void BuildCondition_CameraCanSeeMe(void)
00107850	F	BuildCondition_AttachedToAnAgent	void BuildCondition_AttachedToAnAgent(void)
0010786c	F	BuildCondition_GotAttachedObject	void BuildCondition_GotAttachedObject(void)
00107888	F	BuildCondition_GotLinkedObject	void BuildCondition_GotLinkedObject(void)
001078dc	F	BuildCondition_GotAttachmentOnExit	void BuildCondition_GotAttachmentOnExit(void)
001078f8	F	BuildCondition_LostAllAttachments	void BuildCondition_LostAllAttachments(void)
00107930	F	BuildCondition_TouchingTerrain	void BuildCondition_TouchingTerrain(void)
0010794c	F	BuildCondition_TouchingAnyAgent	void BuildCondition_TouchingAnyAgent(void)
001079d8	F	BuildCondition_IsResting	void BuildCondition_IsResting(void)
001079f4	F	BuildCondition_SqrMoveSpeed	void BuildCondition_SqrMoveSpeed(void)
00107ad4	F	BuildCondition_CounterValue	void BuildCondition_CounterValue(void)
00107af0	F	BuildCondition_CounterValueEqualsThreshold	void BuildCondition_CounterValueEqualsThreshold(void)
00107c44	F	BuildCondition_DistanceToTarget	void BuildCondition_DistanceToTarget(void)
00107ec8	F	BuildCondition_PlayerHitPoints	void BuildCondition_PlayerHitPoints(void)
00107ee4	F	BuildCondition_CanJumpForwards	void BuildCondition_CanJumpForwards(void)
00107f00	F	BuildCondition_WillHitLowWall	void BuildCondition_WillHitLowWall(void)
00107f1c	F	BuildCondition_PlayerIsCrouching	void BuildCondition_PlayerIsCrouching(void)
00107f38	F	BuildCondition_MeToPlayerSqrDist	void BuildCondition_MeToPlayerSqrDist(void)
00107f54	F	BuildCondition_PlayerToMyFocusSqrDist	void BuildCondition_PlayerToMyFocusSqrDist(void)
00107f8c	F	BuildCondition_PlayerIsMoving	void BuildCondition_PlayerIsMoving(void)
00107fa8	F	BuildCondition_PlayerIsWalking	void BuildCondition_PlayerIsWalking(void)
00107fc4	F	BuildCondition_PlayerIsRunning	void BuildCondition_PlayerIsRunning(void)
00107fe0	F	BuildCondition_PlayerIsCrawling	void BuildCondition_PlayerIsCrawling(void)
00107ffc	F	BuildCondition_PlayerIsFalling	void BuildCondition_PlayerIsFalling(void)
00108018	F	BuildCondition_PlayerIsCoOpLinked	void BuildCondition_PlayerIsCoOpLinked(void)
00108088	F	BuildCondition_PlayerHoldingMultiTool	void BuildCondition_PlayerHoldingMultiTool(void)
001080a4	F	BuildCondition_PlayerIsSlamming	void BuildCondition_PlayerIsSlamming(void)
001080c0	F	BuildCondition_PlayerIsSpinning	void BuildCondition_PlayerIsSpinning(void)
001080dc	F	BuildCondition_PlayerIsJumping	void BuildCondition_PlayerIsJumping(void)
001080f8	F	BuildCondition_HeadCanSeePlayerUnblocked	void BuildCondition_HeadCanSeePlayerUnblocked(void)
00108114	F	BuildCondition_PlayerIsGrounded	void BuildCondition_PlayerIsGrounded(void)
0010822c	F	BuildCondition_DemoHubMusicFlag	void BuildCondition_DemoHubMusicFlag(void)
00108248	F	BuildCondition_AgentIsOnGround	void BuildCondition_AgentIsOnGround(void)
00108280	F	BuildCondition_CrateHasRedWumpa	void BuildCondition_CrateHasRedWumpa(void)
0010829c	F	BuildCondition_AgentHitPoints	void BuildCondition_AgentHitPoints(void)
001082b8	F	BuildCondition_WumpaNeededForPayGate	void BuildCondition_WumpaNeededForPayGate(void)
001082d4	F	BuildCondition_CanMoveForwards	void BuildCondition_CanMoveForwards(void)
001082f0	F	BuildCondition_CanMoveBackwards	void BuildCondition_CanMoveBackwards(void)
0010830c	F	BuildCondition_CanStrafeLeft	void BuildCondition_CanStrafeLeft(void)
00108328	F	BuildCondition_CanStrafeRight	void BuildCondition_CanStrafeRight(void)
00108344	F	BuildCondition_CanFall	void BuildCondition_CanFall(void)
00108360	F	BuildCondition_AgentWasTouched	void BuildCondition_AgentWasTouched(void)
0010837c	F	BuildCondition_AgentWasWalkedInto	void BuildCondition_AgentWasWalkedInto(void)
00108398	F	BuildCondition_AgentWasJumpedOn	void BuildCondition_AgentWasJumpedOn(void)
001083b4	F	BuildCondition_AgentWasHeadbutted	void BuildCondition_AgentWasHeadbutted(void)
001083d0	F	BuildCondition_AgentWasAttacked	void BuildCondition_AgentWasAttacked(void)
001083ec	F	BuildCondition_AgentWasSpun	void BuildCondition_AgentWasSpun(void)
