# address	kind	text        kind 3 = plate, 1 = pre, 0 = end of line, 2 = post; newlines escaped
002c6750	3	Library Function - Single Match\nName: sceMcDelete\nLibrary: ps2_sdk 3.0.3 libmc
002c7050	3	Potentially just a write to ram from disk param_3 amount of bytes, Idk
002c7644	3	An absolutely GalaxyBrain way to use 128-bit PS2 operations to find string length
002c94d8	3	Return 0 if strings are equal, non zero otherwise, case independant
002cf350	3	Library Function - Single Match\nName: AddIntcHandler2\nLibrary: ps2_sdk 3.0.3 libkernl
002cf370	3	Library Function - Single Match\n AddDmacHandler\n\nLibrary: ps2_sdk 3.0.3 libkernl
002cf390	3	Library Function - Single Match\n RemoveDmacHandler\n\nLibrary: ps2_sdk 3.0.3 libkernl
002cf3a0	3	Library Function - Single Match\n _EnableIntc\n\nLibrary: ps2_sdk 3.0.3 libkernl
002cf3b0	3	Library Function - Single Match\n _DisableIntc\n\nLibrary: ps2_sdk 3.0.3 libkernl
002cf3c0	3	Library Function - Single Match\n _EnableDmac\n\nLibrary: ps2_sdk 3.0.3 libkernl
002cf3d0	3	Library Function - Single Match\n _DisableDmac\n\nLibrary: ps2_sdk 3.0.3 libkernl
002cf460	3	Library Function - Single Match\nName: CreateThread\nLibrary: ps2_sdk 3.0.3 libkernl
002cf480	3	Library Function - Single Match\nName: _StartThread\nLibrary: ps2_sdk 3.0.3 libkernl
002cf4f0	3	Library Function - Single Match\nName: ChangeThreadPriority\nLibrary: ps2_sdk 3.0.3 libkernl
002cf510	3	Library Function - Single Match\nName: RotateThreadReadyQueue\nLibrary: ps2_sdk 3.0.3 libkernl
002cf550	3	Library Function - Single Match\nName: GetThreadId\nLibrary: ps2_sdk 3.0.3 libkernl
002cf560	3	Library Function - Single Match\nName: ReferThreadStatus\nLibrary: ps2_sdk 3.0.3 libkernl
002cf580	3	Library Function - Single Match\nName: SleepThread\nLibrary: ps2_sdk 3.0.3 libkernl
002cf590	3	Library Function - Single Match\nName: WakeupThread\nLibrary: ps2_sdk 3.0.3 libkernl
002cf5a0	3	Library Function - Single Match\nName: _iWakeupThread\nLibrary: ps2_sdk 3.0.3 libkernl
002cf5d0	3	Library Function - Single Match\nName: SuspendThread\nLibrary: ps2_sdk 3.0.3 libkernl
002cf640	3	Library Function - Single Match\nName: EndOfHeap\nLibrary: ps2_sdk 3.0.3 libkernl
002cf660	3	Library Function - Single Match\n CreateSema\n\nLibrary: ps2_sdk 3.0.3 libkernl
002cf670	3	Library Function - Single Match\nName: DeleteSema\nLibrary: ps2_sdk 3.0.3 libkernl
002cf680	3	Library Function - Single Match\nName: SignalSema\nLibrary: ps2_sdk 3.0.3 libkernl
002cf690	3	Library Function - Single Match\nName: iSignalSema\nLibrary: ps2_sdk 3.0.3 libkernl
002cf6a0	3	Library Function - Single Match\nName: WaitSema\nLibrary: ps2_sdk 3.0.3 libkernl
002cf700	3	Library Function - Single Match\n SetOsdConfigParam\n\nLibrary: ps2_sdk 3.0.3 libkernl
002cf710	3	Library Function - Single Match\n GetOsdConfigParam\n\nLibrary: ps2_sdk 3.0.3 libkernl
002cf8e0	3	Library Function - Single Match\n FlushCache\n\nLibrary: ps2_sdk 3.0.3 libkernl
002cf930	3	Library Function - Single Match\nName: sceSifStopDma\nLibrary: ps2_sdk 3.0.3 libkernl
002cf9d0	3	Library Function - Single Match\n SetVSyncFlag\n\nLibrary: ps2_sdk 3.0.3 libkernl
002cfa20	3	Library Function - Single Match\nName: sceSifSetDma\nLibrary: ps2_sdk 3.0.3 libkernl
002cfa30	3	Library Function - Single Match\nName: isceSifSetDma\nLibrary: ps2_sdk 3.0.3 libkernl
002cfa40	3	Library Function - Single Match\n sceSifSetDChain\n\nLibrary: ps2_sdk 3.0.3 libkernl
002cfa50	3	Library Function - Single Match\nName: isceSifSetDChain\nLibrary: ps2_sdk 3.0.3 libkernl
002cfa60	3	Library Function - Single Match\n sceSifSetReg\n\nLibrary: ps2_sdk 3.0.3 libkernl
002cfa70	3	Library Function - Single Match\n sceSifGetReg\n\nLibrary: ps2_sdk 3.0.3 libkernl
002cfa90	3	Library Function - Single Match\n Deci2Call\n\nLibrary: ps2_sdk 3.0.3 libkernl
002cfac0	3	Library Function - Single Match\nName: GetMemorySize\nLibrary: ps2_sdk 3.0.3 libkernl
002cfc28	3	Library Function - Single Match\nName: write\nLibrary: ps2_sdk 3.0.3 libkernl
002cfcb0	3	Library Function - Single Match\nName: sbrk\nLibrary: ps2_sdk 3.0.3 libkernl
002cfd68	3	Library Function - Multiple Matches With Different Base Names\n _sceIDC\n gcc2_compiled.\n\nLibrary: ps2_sdk 3.0.3 libkernl
002cfe10	3	Library Function - Multiple Matches With Different Base Names\n InvalidDCache\n SyncDCache\n\nLibrary: ps2_sdk 3.0.3 libkernl
002cfe98	3	Library Function - Multiple Matches With Different Base Names\n _sceIDC\n gcc2_compiled.\n\nLibrary: ps2_sdk 3.0.3 libkernl
002cff40	3	Library Function - Multiple Matches With Different Base Names\n InvalidDCache\n SyncDCache\n\nLibrary: ps2_sdk 3.0.3 libkernl
002cffc0	3	Library Function - Multiple Matches With Different Base Names\n iInvalidDCache\n iSyncDCache\n\nLibrary: ps2_sdk 3.0.3 libkernl
002cffe8	3	Library Function - Multiple Matches With Different Base Names\nName: DisableDmac, DisableIntc, EnableDmac, EnableIntc\nLibrary: ps2_sdk 3.0.3 libkernl
002d0050	3	Library Function - Multiple Matches With Different Base Names\n DisableDmac\n DisableIntc\n EnableDmac\n EnableIntc\n\nLibrary: ps2_sdk 3.0.3 libkernl
002d00b8	3	Library Function - Single Match\n DisableDmac\n\nLibrary: ps2_sdk 3.0.3 libkernl
002d0120	3	Library Function - Single Match\n EnableDmac\n\nLibrary: ps2_sdk 3.0.3 libkernl
002d0188	3	Library Function - Single Match\nName: topThread\nLibrary: ps2_sdk 3.0.3 libkernl
002d0260	3	Library Function - Single Match\nName: InitThread\nLibrary: ps2_sdk 3.0.3 libkernl
002d0350	3	Library Function - Single Match\nName: iWakeupThread\nLibrary: ps2_sdk 3.0.3 libkernl
002d03f0	3	Library Function - Single Match\nName: DelayThread\nLibrary: ps2_sdk 3.0.3 libkernl
002d0630	3	Library Function - Single Match\n _DelayThreadHandler\n\nLibrary: ps2_sdk 3.0.3 libkernl
002d0658	3	Library Function - Single Match\nName: QueueInit\nLibrary: ps2_sdk 3.0.3 libkernl
002d0680	3	Library Function - Single Match\n QueuePeekWriteDone\n\nLibrary: ps2_sdk 3.0.3 libkernl
002d06c8	3	Library Function - Single Match\nName: sceTtyHandler\nLibrary: ps2_sdk 3.0.3 libkernl
002d0860	3	Library Function - Single Match\nName: sceTtyWrite\nLibrary: ps2_sdk 3.0.3 libkernl
002d09d8	3	Library Function - Single Match\nName: sceTtyInit\nLibrary: ps2_sdk 3.0.3 libkernl
002d0a98	3	Library Function - Single Match\n kputchar\n\nLibrary: ps2_sdk 3.0.3 libkernl
002d0ad0	3	Library Function - Single Match\nName: deci2Putchar\nLibrary: ps2_sdk 3.0.3 libkernl
002d0b80	3	Library Function - Single Match\n serialPutchar\n\nLibrary: ps2_sdk 3.0.3 libkernl
002d0bb8	3	Library Function - Single Match\nName: ftoi\nLibrary: ps2_sdk 3.0.3 libkernl
002d0c48	3	Library Function - Single Match\nName: printfloat\nLibrary: ps2_sdk 3.0.3 libkernl
002d0e20	3	Library Function - Single Match\nName: _sceSnprintf\nLibrary: ps2_sdk 3.0.3 libkernl
002d1b90	3	Library Function - Single Match\nName: printf_char\nLibrary: ps2_sdk 3.0.3 libkernl
002d1bb8	3	Library Function - Single Match\n kprintf_char\n\nLibrary: ps2_sdk 3.0.3 libkernl
002d1be0	3	Library Function - Single Match\n _sceSnprintf_pf\n\nLibrary: ps2_sdk 3.0.3 libkernl
002d1c30	3	Library Function - Single Match\n sceSnprintf\n\nLibrary: ps2_sdk 3.0.3 libkernl
002d1cf8	3	Library Function - Single Match\n kprintf\n\nLibrary: ps2_sdk 3.0.3 libkernl
002d1da8	3	Library Function - Single Match\n sceSifGetSreg\n\nLibrary: ps2_sdk 3.0.3 libkernl
002d1dd0	3	Library Function - Single Match\n sceSifInitCmd\n\nLibrary: ps2_sdk 3.0.3 libkernl
002d2050	3	Library Function - Single Match\n sceSifExitCmd\n\nLibrary: ps2_sdk 3.0.3 libkernl
002d2088	3	Library Function - Single Match\nName: sceSifAddCmdHandler\nLibrary: ps2_sdk 3.0.3 libkernl
002d2100	3	Library Function - Single Match\n sceSifRemoveCmdHandler\n\nLibrary: ps2_sdk 3.0.3 libkernl
002d2150	3	Library Function - Single Match\nName: _sceSifSendCmd\nLibrary: ps2_sdk 3.0.3 libkernl
002d2288	3	Library Function - Single Match\n sceSifSendCmd\n\nLibrary: ps2_sdk 3.0.3 libkernl
002d22c8	3	Library Function - Single Match\n isceSifSendCmd\n\nLibrary: ps2_sdk 3.0.3 libkernl
002d2450	3	Library Function - Single Match\n sceSifWriteBackDCache\n\nLibrary: ps2_sdk 3.0.3 libkernl
002d2500	3	Library Function - Single Match\n sceSifInitRpc\n\nLibrary: ps2_sdk 3.0.3 libkernl
002d26a0	3	Library Function - Single Match\n sceSifExitRpc\n\nLibrary: ps2_sdk 3.0.3 libkernl
002d26c8	3	Library Function - Single Match\nName: _sceRpcGetPacket\nLibrary: ps2_sdk 3.0.3 libkernl
002d2770	3	Library Function - Single Match\nName: _sceRpcFreePacket\nLibrary: ps2_sdk 3.0.3 libkernl
002d2790	3	Library Function - Single Match\n _sceRpcGetFPacket\n\nLibrary: ps2_sdk 3.0.3 libkernl
002d27c0	3	Library Function - Single Match\nName: _sceRpcGetFPacket2\nLibrary: ps2_sdk 3.0.3 libkernl
002d2800	3	Library Function - Single Match\nName: _request_end\nLibrary: ps2_sdk 3.0.3 libkernl
002d28d0	3	Library Function - Single Match\n _alarm_rdata\n\nLibrary: ps2_sdk 3.0.3 libkernl
002d2910	3	Library Function - Single Match\nName: _request_rdata\nLibrary: ps2_sdk 3.0.3 libkernl
